'type','encrun','retrun','jit','Word','score','Response','RAWONSET','RT','subject','otherResps','ONSETtr','jit','enctype'
1,4,2,3000,'MARRIAGE',2,2,6005,1306,'o311','',2.50E-03,3000,3
0,2,2,1500,'SIGNAL',1,14,11504,2572,'o311','',2.75E+00,1500,1
1,4,2,1500,'RACE',2,2,15504,1792,'o311','',4.75E+00,1500,3
0,1,2,1500,'LORD',2,2,19504,1263,'o311','',6.75E+00,1500,1
1,5,2,2500,'WEIGHT',2,2,23504,1453,'o311','',8.75E+00,2500,5
1,4,2,2500,'GUY',2,2,28504,1078,'o311','',1.13E+01,2500,3
0,5,2,2000,'BOX',1,14,33504,2383,'o311','',1.38E+01,2000,5
1,1,2,2500,'COST',1,14,38004,2249,'o311','',1.60E+01,2500,1
0,1,2,1500,'SCENE',2,2,43004,2099,'o311','',1.85E+01,1500,1
2,7,2,1500,'ENGINE',3,14,47004,2674,'o311','',2.05E+01,1500,0
2,7,2,2000,'EXPRESSION',2,2,51005,1923,'o311','',2.25E+01,2000,0
0,5,2,1500,'PIECE',3,22,55504,2445,'o311','',2.48E+01,1500,5
1,1,2,2500,'MONEY',3,22,59504,1760,'o311','',2.68E+01,2500,1
0,4,2,3000,'WIN',2,2,64504,2200,'o311','',2.93E+01,3000,3
0,2,2,2000,'DEEP',3,22,70004,2345,'o311','',3.20E+01,2000,1
2,7,2,1500,'DIVISION',3,14,74505,2405,'o311','',3.43E+01,1500,0
1,3,2,1500,'CENTURY',1,14,78505,2500,'o311','',3.63E+01,1500,3
2,7,2,2000,'PRODUCTION',2,2,82505,1285,'o311','',3.83E+01,2000,0
1,5,2,1500,'INFLUENCE',2,2,87005,1235,'o311','',4.05E+01,1500,5
2,7,2,2500,'BAR',2,2,91004,1792,'o311','',4.25E+01,2500,0
1,6,2,3000,'HILL',2,2,96004,2107,'o311','',4.50E+01,3000,5
1,2,2,2000,'SERIES',1,14,101504,2157,'o311','',4.78E+01,2000,1
1,1,2,2000,'SUBJECT',1,14,106005,2007,'o311','',5.00E+01,2000,1
2,7,2,2000,'MEMORY',2,2,110505,1557,'o311','',5.23E+01,2000,0
2,7,2,2500,'CORPORATION',2,2,115005,2097,'o311','',5.45E+01,2500,0
1,2,2,2500,'STORE',2,2,120004,1643,'o311','',5.70E+01,2500,1
1,6,2,2000,'BREATH',2,2,125004,1009,'o311','',5.95E+01,2000,5
0,4,2,2500,'MAJORITY',2,2,129505,3103,'o311','',6.18E+01,2500,3
0,3,2,1500,'DIFFERENCE',2,2,134505,2758,'o311','',6.43E+01,1500,3
1,4,2,2000,'TRIAL',2,2,138504,1349,'o311','',6.63E+01,2000,3
2,7,2,2000,'PAGE',2,2,143004,2260,'o311','',6.85E+01,2000,0
0,1,2,2000,'COUNCIL',2,2,147505,1884,'o311','',7.08E+01,2000,1
2,7,2,2500,'ROLE',3,14,152004,2795,'o311','',7.30E+01,2500,0
2,7,2,2000,'ATMOSPHERE',3,14,157005,1569,'o311','',7.55E+01,2000,0
0,5,2,2500,'TROUBLE',2,2,161504,1886,'o311','',7.78E+01,2500,5
2,7,2,2000,'CHINA',3,14,166504,1751,'o311','',8.03E+01,2000,0
2,7,2,1500,'TRY',3,14,171004,2146,'o311','',8.25E+01,1500,0
2,7,2,1500,'PROFESSOR',2,2,175005,2175,'o311','',8.45E+01,1500,0
0,2,2,2000,'CUT',2,2,179004,1107,'o311','',8.65E+01,2000,1
0,6,2,1500,'THEME',2,2,183504,1392,'o311','',8.88E+01,1500,5
1,3,2,2500,'PRIVATE',2,2,187504,1372,'o311','',9.08E+01,2500,3
2,7,2,1500,'BUDGET',3,14,192504,1927,'o311','',9.33E+01,1500,0
1,1,2,3000,'RESPECT',1,14,196504,3078,'o311','',9.53E+01,3000,1
2,7,2,1500,'SEAT',2,2,202004,1628,'o311','',9.80E+01,1500,0
0,6,2,2500,'TERM',2,2,206004,1818,'o311','',1.00E+02,2500,5
0,6,2,2500,'REAR',2,2,211004,1538,'o311','',1.03E+02,2500,5
1,2,2,2500,'WAIT',1,14,216004,1994,'o311','',1.05E+02,2500,1
2,7,2,2500,'EVIDENCE',3,14,221005,1903,'o311','',1.08E+02,2500,0
2,7,2,2500,'MORNING',3,14,226005,1368,'o311','',1.10E+02,2500,0
0,3,2,2000,'DUTY',2,2,231004,1635,'o311','',1.13E+02,2000,3
0,4,2,3000,'LEAD',2,2,235504,1935,'o311','',1.15E+02,3000,3
2,7,2,2000,'OPENING',3,14,241005,1954,'o311','',1.18E+02,2000,0
2,7,2,1500,'AGREEMENT',2,2,245505,1599,'o311','',1.20E+02,1500,0
2,7,2,3000,'BAY',2,2,249504,2541,'o311','',1.22E+02,3000,0
0,4,2,1500,'DREAM',2,2,255004,1056,'o311','',1.25E+02,1500,3
2,7,2,1500,'FILL',1,22,259004,2321,'o311','',1.27E+02,1500,0
2,7,2,2500,'MAIN',3,14,263004,2256,'o311','',1.29E+02,2500,0
1,6,2,2500,'SEARCH',2,2,268004,1612,'o311','',1.31E+02,2500,5
0,1,2,2000,'BIRTH',2,2,273004,1617,'o311','',1.34E+02,2000,1
0,2,2,2500,'TRADITION',2,2,277505,3166,'o311','',1.36E+02,2500,1
0,3,2,2500,'ANSWER',2,2,282505,1447,'o311','',1.38E+02,2500,3
2,7,2,2000,'TRIP',2,2,287504,1583,'o311','',1.41E+02,2000,0
1,5,2,1500,'COUSIN',2,2,292005,952,'o311','',1.43E+02,1500,5
1,6,2,2000,'RISK',1,14,296004,1898,'o311','',1.45E+02,2000,5
0,6,2,2000,'EDGE',2,2,300504,1574,'o311','',1.47E+02,2000,5
1,2,2,1500,'ATTITUDE',2,2,305005,1858,'o311','',1.50E+02,1500,1
2,7,2,2000,'FIRE',3,14,309004,1794,'o311','',1.52E+02,2000,0
0,3,2,2500,'LITERATURE',3,22,313505,1743,'o311','',1.54E+02,2500,3
1,3,2,1500,'COMMITTEE',2,2,318505,2039,'o311','',1.56E+02,1500,3
1,5,2,2500,'DROVE',2,2,322504,1975,'o311','',1.58E+02,2500,5
1,3,2,2000,'LEADER',2,2,327504,2015,'o311','',1.61E+02,2000,3
2,7,3,2500,'LIE',2,2,2004,2716,'o311','',-2.00E+00,2500,0
0,5,3,1500,'WIFE',2,2,7004,2166,'o311','',5.02E-01,1500,5
1,1,3,2000,'RISE',1,14,11004,2036,'o311','',2.50E+00,2000,1
1,5,3,2000,'STOP',1,14,15504,2527,'o311','',4.75E+00,2000,5
1,1,3,1500,'DESK',1,14,20004,1852,'o311','',7.00E+00,1500,1
0,6,3,1500,'COURT',2,2,24004,1677,'o311','',9.00E+00,1500,5
0,5,3,2000,'PRODUCE',2,2,28005,2331,'o311','',1.10E+01,2000,5
1,2,3,2500,'WISH',1,14,32504,3303,'o311','',1.33E+01,2500,1
1,6,3,1500,'FREEDOM',2,2,37505,1247,'o311','',1.58E+01,1500,5
0,6,3,1500,'PHILOSOPHY',2,2,41505,1632,'o311','',1.78E+01,1500,5
2,7,3,2000,'FEAR',2,2,45504,1758,'o311','',1.98E+01,2000,0
1,6,3,2500,'COOL',2,2,50004,1279,'o311','',2.20E+01,2500,5
1,2,3,2500,'COMMUNICATION',2,2,55005,1413,'o311','',2.45E+01,2500,1
0,3,3,2000,'THEORY',2,2,60004,1244,'o311','',2.70E+01,2000,3
2,7,3,1500,'BREAK',2,2,64504,1464,'o311','',2.93E+01,1500,0
1,3,3,2000,'PORTION',1,14,68505,1959,'o311','',3.13E+01,2000,3
1,1,3,2000,'CONFIDENCE',1,14,73005,2789,'o311','',3.35E+01,2000,1
2,7,3,1500,'PERSONNEL',2,2,77505,1599,'o311','',3.58E+01,1500,0
0,1,3,2000,'PHASE',2,2,81504,1280,'o311','',3.78E+01,2000,1
2,7,3,1500,'EXTREME',3,14,86005,2030,'o311','',4.00E+01,1500,0
1,3,3,2500,'CORNER',1,14,90005,1580,'o311','',4.20E+01,2500,3
0,5,3,2500,'QUALITY',2,2,95005,1730,'o311','',4.45E+01,2500,5
2,7,3,3000,'ATTEMPT',3,14,100005,2585,'o311','',4.70E+01,3000,0
2,7,3,2500,'MISS',3,14,105503,2113,'o311','',4.98E+01,2500,0
2,7,3,1500,'LOVE',3,14,110503,2538,'o311','',5.23E+01,1500,0
0,4,3,1500,'TREATMENT',2,2,114504,1627,'o311','',5.43E+01,1500,3
1,4,3,2500,'KEEP',1,14,118503,2364,'o311','',5.63E+01,2500,3
2,7,3,2000,'MONTH',3,14,123504,1968,'o311','',5.88E+01,2000,0
0,1,3,2000,'DEGREE',2,2,128004,1678,'o311','',6.10E+01,2000,1
2,7,3,2500,'SYMBOL',3,14,132505,1912,'o311','',6.33E+01,2500,0
0,3,3,2000,'NOVEL',1,14,137504,2384,'o311','',6.58E+01,2000,3
2,7,3,2500,'COMPETITION',2,2,142005,2028,'o311','',6.80E+01,2500,0
1,2,3,2000,'POETRY',2,2,147004,1764,'o311','',7.05E+01,2000,1
0,2,3,1500,'STEP',2,2,151504,1684,'o311','',7.28E+01,1500,1
0,1,3,2500,'VICTORY',2,2,155505,2049,'o311','',7.48E+01,2500,1
0,4,3,1500,'THICK',2,2,160504,1435,'o311','',7.73E+01,1500,3
2,7,3,2000,'SUMMER',3,14,164505,1944,'o311','',7.93E+01,2000,0
2,7,3,2500,'PERSON',3,14,169004,3191,'o311','',8.15E+01,2500,0
2,7,3,2500,'MARKET',3,14,174005,1790,'o311','',8.40E+01,2500,0
1,3,3,3000,'RIVER',1,14,179004,1541,'o311','',8.65E+01,3000,3
2,7,3,2500,'APARTMENT',3,14,184505,1865,'o311','',8.93E+01,2500,0
1,6,3,1500,'PAYMENT',1,14,189505,1681,'o311','',9.18E+01,1500,5
0,2,3,2500,'RELATION',2,2,193505,1406,'o311','',9.38E+01,2500,1
1,3,3,2000,'DEVICE',1,14,198504,1402,'o311','',9.63E+01,2000,3
2,7,3,2000,'PRINCIPAL',3,14,203005,2406,'o311','',9.85E+01,2000,0
2,7,3,2000,'SUCCESS',3,14,207505,2577,'o311','',1.01E+02,2000,0
1,5,3,1500,'BENEFIT',2,2,212005,2572,'o311','',1.03E+02,1500,5
2,7,3,1500,'TAX',3,14,216004,2093,'o311','',1.05E+02,1500,0
0,6,3,1500,'SHORE',3,22,220004,1583,'o311','',1.07E+02,1500,5
2,7,3,1500,'SPRING',1,22,224004,1679,'o311','',1.09E+02,1500,0
1,4,3,2500,'JACK',1,14,228004,1899,'o311','',1.11E+02,2500,3
2,7,3,2000,'GENERATION',3,14,233005,2068,'o311','',1.14E+02,2000,0
2,7,3,3000,'BEAUTY',3,14,237505,1873,'o311','',1.16E+02,3000,0
0,6,3,1500,'NECK',2,2,243004,1895,'o311','',1.19E+02,1500,5
1,5,3,1500,'TRUTH',2,2,247004,2355,'o311','',1.21E+02,1500,5
2,7,3,2500,'LACK',3,14,251004,2180,'o311','',1.23E+02,2500,0
0,2,3,2000,'CAPTAIN',1,14,256005,2334,'o311','',1.25E+02,2000,1
1,5,3,1500,'TASK',2,2,260504,1721,'o311','',1.27E+02,1500,5
0,1,3,1500,'MOON',3,22,264504,1451,'o311','',1.29E+02,1500,1
2,7,3,1500,'TOWN',3,14,268504,2171,'o311','',1.31E+02,1500,0
2,7,3,2500,'CAREER',3,14,272504,2726,'o311','',1.33E+02,2500,0
